Sample,AC_RED,AC_IR,AC_GREEN,Pressure
4,2.336001,1.210618,1.093507,90.900956
5,2.338962,1.224763,1.106995,90.838041
6,2.341923,1.233645,1.1116,90.560263
7,2.350147,1.210947,1.09252,90.65523
8,2.323501,1.212592,1.090217,90.56145
9,2.320869,1.215881,1.087257,90.429683
10,2.323501,1.214895,1.095152,90.381606
11,2.348502,1.252725,1.139233,90.464702
12,2.3587,1.254041,1.139233,90.09908
13,2.351463,1.254041,1.139562,90.29673
14,2.310013,1.212592,1.115219,90.28011
15,2.305408,1.202394,1.118837,90.158434
16,2.304421,1.198117,1.118179,89.872346
17,2.334686,1.220487,1.148115,90.080086
18,2.337975,1.214895,1.150089,90.09077
19,2.337975,1.205684,1.149102,89.744735
0,2.315277,1.173774,1.134299,89.856321
1,2.305737,1.154036,1.127719,89.988087
2,2.312316,1.146799,1.12443,89.63849
3,2.328106,1.174103,1.14647,89.623058
4,2.340936,1.18134,1.151405,89.49604
5,2.33337,1.181669,1.157984,89.433718
6,2.300473,1.167195,1.128377,89.351809
7,2.297513,1.154694,1.12739,89.424815
8,2.294881,1.154036,1.12739,89.375551
9,2.316922,1.179038,1.151405,89.07225
10,2.318237,1.193183,1.160287,89.017644
11,2.317251,1.20042,1.163576,89.062754
12,2.287315,1.157984,1.144167,88.802188
13,2.263959,1.145812,1.13693,88.932174
14,2.260669,1.145812,1.129035,89.03189
15,2.280736,1.158642,1.150747,88.885284
16,2.285012,1.170813,1.161274,88.952355
17,2.294223,1.168511,1.163247,88.770731
18,2.286657,1.150747,1.139233,88.544591
19,2.260011,1.121469,1.138575,88.41045
0,2.249484,1.116206,1.134628,88.503636
1,2.256392,1.111271,1.141207,88.615222
2,2.271525,1.142852,1.164563,88.27809
3,2.267577,1.160287,1.16555,88.168878
4,2.265274,1.163905,1.161274,88.402734
5,2.232049,1.137588,1.134956,88.189652
6,2.221522,1.141536,1.134628,88.121988
7,2.218562,1.137917,1.126732,87.928493
8,2.24455,1.178051,1.165879,87.939177
9,2.241918,1.194828,1.175748,87.987847
10,2.237641,1.18463,1.170485,87.829965
11,2.195863,1.152721,1.147128,88.053137
12,2.175796,1.153378,1.133312,87.670302
13,2.169546,1.146799,1.136272,87.897035
14,2.19356,1.176735,1.160616,87.362847
15,2.195534,1.180353,1.16884,87.704134
16,2.197837,1.177064,1.170485,87.593735
17,2.174481,1.157326,1.138246,87.686921
18,2.162638,1.150089,1.136272,87.657244
19,2.156059,1.153378,1.13397,87.444756
0,2.174152,1.177393,1.152392,87.322486
1,2.181718,1.18792,1.161931,87.332576
2,2.179415,1.199104,1.154694,87.308834
3,2.152769,1.190551,1.128706,87.312989
4,2.137308,1.189893,1.128048,87.372937
5,2.125794,1.193183,1.121798,87.232267
6,2.147834,1.2195,1.142852,86.993069
7,2.15573,1.231672,1.160945,87.22099
8,2.153098,1.231343,1.160945,87.305273
9,2.153427,1.232659,1.154036,87.150358
10,2.113293,1.189564,1.121798,87.04174
11,2.101122,1.184959,1.123443,87.067856
12,2.097503,1.180353,1.119824,87.048862
13,2.13336,1.211276,1.155681,86.864864
14,2.131386,1.208973,1.150418,87.063108
15,2.133031,1.199762,1.155352,86.800168
16,2.105398,1.156668,1.134956,87.06014
17,2.093227,1.14976,1.13068,86.921844
18,2.099806,1.150089,1.139562,86.780581
19,2.122504,1.176735,1.167853,86.923031
0,2.12382,1.188249,1.172458,86.711137
1,2.113622,1.183972,1.177393,86.788891
2,2.08895,1.167195,1.158642,86.650595
3,2.0827,1.156668,1.153049,86.861303
4,2.071515,1.160287,1.163576,86.723601
5,2.093227,1.180353,1.186933,86.747936
6,2.104411,1.192196,1.20667,86.717666
7,2.102438,1.186275,1.211276,86.584118
8,2.074805,1.158313,1.187591,86.698672
9,2.05079,1.139891,1.183972,86.54257
10,2.049474,1.133641,1.181669,86.653563
11,2.067896,1.154694,1.203052,86.649408
12,2.075792,1.14647,1.204039,86.31643
13,2.081384,1.145483,1.205684,86.464223
14,2.059343,1.112258,1.184301,86.575215
15,2.039277,1.096797,1.167524,86.435139
16,2.044869,1.095152,1.161603,86.516454
17,2.079081,1.106337,1.175748,86.410804
18,2.059014,1.113903,1.178709,86.568093
19,2.056383,1.120153,1.181011,86.432171
0,2.054409,1.12114,1.162918,86.448791
1,2.021513,1.095152,1.133641,86.356791
2,2.015262,1.096139,1.126074,86.216715
3,2.011315,1.093507,1.123772,86.220277
4,2.034013,1.128048,1.151734,86.25767
5,2.043882,1.128048,1.152392,86.114032
6,2.0225,1.123443,1.147457,86.217309
7,1.987629,1.088573,1.109297,85.957931
8,1.975458,1.076401,1.099428,86.176948
9,1.966905,1.079033,1.099099,86.120561
10,1.996511,1.103047,1.109626,86.167451
11,2.000459,1.097784,1.106666,86.059426
12,1.990919,1.098113,1.099428,86.110471
13,1.961641,1.064887,1.077059,86.032123
14,1.954733,1.047452,1.063242,85.97455
15,1.947825,1.051071,1.053374,85.838035
16,1.96855,1.071467,1.072782,85.738913
17,1.964931,1.090217,1.069164,85.950808
18,1.956707,1.088244,1.054689,85.810732
19,1.926771,1.065545,1.034623,85.814887
0,1.919534,1.066203,1.021793,86.037465
1,1.916244,1.059953,1.014885,85.989982
2,1.930719,1.086599,1.031333,85.696178
3,1.946509,1.09581,1.037254,85.800048
4,1.929074,1.102389,1.035281,85.588747
5,1.898151,1.060611,1.014556,85.737726
6,1.875453,1.047123,0.998108,85.433832
7,1.866571,1.042518,0.983633,85.757907
8,1.865913,1.052058,1.005345,85.715171
9,1.888282,1.063571,0.996134,85.487251
10,1.884993,1.050084,0.999095,85.42849
11,1.883677,1.037912,0.981002,85.417806
12,1.845846,1.000739,0.952711,85.597056
13,1.843872,0.996792,0.943829,85.458167
14,1.833346,0.991199,0.931986,85.497341
15,1.85111,1.014556,0.945803,85.341239
16,1.845188,1.018174,0.940539,85.667688
17,1.83828,1.018832,0.934618,85.713984
18,1.805384,0.990871,0.90863,85.529986
19,1.789594,0.985607,0.891195,85.297911
0,1.78104,0.991528,0.887247,85.345988
1,1.799133,1.015214,0.90534,85.449264
2,1.806371,1.018832,0.91159,85.284853
3,1.78104,1.008635,0.91159,85.41009
4,1.745841,0.981989,0.873431,85.270014
5,1.718866,0.966198,0.855996,85.213034
6,1.713603,0.953698,0.848758,85.381007
7,1.731038,0.970475,0.866522,85.28604
8,1.725446,0.969488,0.86718,85.220157
9,1.728077,0.964224,0.853035,85.375071
10,1.690905,0.930012,0.824086,85.059306
11,1.677746,0.918499,0.81981,85.104416
12,1.673141,0.910274,0.807967,84.972056
13,1.688931,0.92442,0.820796,85.067616
14,1.681036,0.942184,0.814546,85.079487
15,1.683667,0.942842,0.805664,84.999359
16,1.651429,0.918499,0.789874,85.074739
17,1.625112,0.916525,0.767175,85.099667
18,1.614914,0.90863,0.763886,84.861063
19,1.612282,0.92771,0.776715,84.885398
0,1.640244,0.934289,0.789216,85.059306
1,1.635968,0.934289,0.782966,85.030223
2,1.621822,0.919485,0.775071,84.832573
3,1.574452,0.888234,0.74349,85.110945
4,1.561622,0.870141,0.725068,84.86225
5,1.555701,0.864549,0.721778,84.87234
6,1.577412,0.883957,0.738556,84.799928
7,1.576096,0.88001,0.738556,84.697839
8,1.575767,0.874417,0.725068,84.893114
9,1.535305,0.838889,0.683948,84.904392
10,1.533002,0.820796,0.671776,84.799928
11,1.528397,0.815862,0.669144,84.983333
12,1.538923,0.838232,0.682961,84.801115
13,1.534976,0.845798,0.676381,84.72811
14,1.529713,0.848429,0.652038,84.715052
15,1.500435,0.81652,0.621445,84.730484
16,1.480039,0.810928,0.610589,84.751851
17,1.467867,0.811914,0.598746,84.754225
18,1.488263,0.828034,0.617168,84.765503
19,1.491553,0.835929,0.621774,84.53224
0,1.481684,0.825402,0.613878,84.713271
1,1.437932,0.791519,0.576377,84.754225
2,1.423786,0.780663,0.560915,84.47526
3,1.411286,0.770136,0.549731,84.472292
4,1.427405,0.785597,0.56256,84.725735
5,1.427734,0.777373,0.569139,84.549453
6,1.423786,0.766517,0.550389,84.612369
7,1.399443,0.738227,0.532296,84.63433
8,1.378718,0.719147,0.512887,84.757787
9,1.377731,0.713883,0.497754,84.699619
10,1.371481,0.733621,0.512887,84.767283
11,1.389903,0.734608,0.516505,84.898456
12,1.378389,0.741187,0.509268,84.521557
13,1.369836,0.732305,0.502031,84.513247
14,1.327729,0.708291,0.471108,84.361893
15,1.319176,0.695461,0.455647,84.546485
16,1.309307,0.702041,0.44841,84.500189
17,1.338256,0.721778,0.478017,84.629581
18,1.332992,0.721449,0.480977,84.570821
19,1.319176,0.708949,0.476372,84.664007
0,1.2797,0.672105,0.444791,84.859876
1,1.262923,0.652038,0.430975,84.397506
2,1.251738,0.645788,0.42933,84.591595
3,1.275095,0.662894,0.446765,84.48357
4,1.271476,0.654341,0.445778,84.655104
5,1.266871,0.645788,0.428014,84.649762
6,1.232988,0.606312,0.404658,84.69309
7,1.228053,0.590522,0.384591,84.647981
8,1.213579,0.578679,0.38821,84.637297
9,1.234961,0.597759,0.401039,84.584472
10,1.226408,0.609273,0.39446,84.679439
11,1.214566,0.601049,0.385907,84.779154
12,1.190551,0.578679,0.353668,84.754225
13,1.172787,0.566837,0.339523,84.977398
14,1.160287,0.56256,0.336891,84.765503
15,1.174761,0.57835,0.349392,84.653323
16,1.174761,0.587232,0.373735,84.661039
17,1.176406,0.577364,0.361563,84.807644
18,1.129693,0.547757,0.328667,84.54055
19,1.100415,0.529664,0.312877,84.658071
0,1.090217,0.513545,0.303666,84.745322
1,1.079362,0.532953,0.327022,84.814173
2,1.101731,0.532953,0.315838,84.595156
3,1.110284,0.523413,0.307613,84.687155
4,1.094494,0.514203,0.301363,84.831386
5,1.057979,0.474398,0.268138,84.753038
6,1.038899,0.461897,0.257282,84.910327
7,1.036596,0.463213,0.248071,84.743542
8,1.049426,0.485912,0.264519,85.026068
9,1.042189,0.496438,0.268467,84.891927
10,1.03232,0.491504,0.253334,84.782122
11,0.992844,0.467161,0.217149,85.006481
12,0.972778,0.456634,0.211885,84.84385
13,0.962909,0.458608,0.205964,84.717426
14,0.977712,0.488543,0.231952,84.94772
15,0.974422,0.496767,0.232281,84.925759
16,0.958632,0.477688,0.219122,84.902611
17,0.915209,0.447752,0.19445,84.864031
18,0.892839,0.423738,0.173067,84.942379
19,0.874417,0.4165,0.165172,84.948907
0,0.893168,0.440186,0.179647,85.01301
1,0.895142,0.440186,0.179318,85.264672
2,0.879023,0.417816,0.178331,85.080674
3,0.852706,0.394789,0.147737,85.124596
4,0.830665,0.379985,0.129315,85.18395
5,0.824086,0.369788,0.115828,85.217782
6,0.83856,0.383604,0.129644,85.22075
7,0.840205,0.38821,0.134579,85.310969
8,0.82277,0.401368,0.122407,84.973836
9,0.796453,0.371761,0.098393,85.156054
10,0.774413,0.363537,0.081945,85.10679
11,0.769149,0.358603,0.067799,85.116287
12,0.755662,0.363208,0.092142,85.233215
13,0.78165,0.390183,0.090827,85.32284
14,0.785268,0.382946,0.091155,85.256363
15,0.764215,0.373735,0.08984,85.175047
16,0.724739,0.338536,0.042798,85.233215
17,0.710923,0.319785,0.031942,85.477161
18,0.709936,0.313535,0.026679,85.442142
19,0.726384,0.335904,0.05168,85.27595
